time_mandante,time_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,gols_mandante,gols_visitante
Galatasaray,Juventus FC,1.61,1.85,2,0
Galatasaray,Real Sociedad,1.61,1.61,1,2
Galatasaray,Olympiacos Pireu,1.61,1.53,1,0
PSV Eindhoven,AEK Atenas,1.6,1.58,2,0
PSV Eindhoven,RC Deportivo de Corunha,1.6,1.59,3,2
PSV Eindhoven,AS Mônaco,1.6,1.79,1,2
AS Mônaco,Futebol Clube do Porto,1.79,2.02,0,3
AS Mônaco,Lokomotiv Moscovo,1.79,1.81,1,0
AS Mônaco,PSV Eindhoven,1.79,1.6,1,1
AS Mônaco,Chelsea FC,1.79,1.68,3,1
AS Mônaco,AEK Atenas,1.79,1.58,4,0
AS Mônaco,Real Madrid CF,1.79,2.01,3,1
AS Mônaco,RC Deportivo de Corunha,1.79,1.59,8,3
FK Partizan Belgrado,Futebol Clube do Porto,1.81,2.02,1,1
FK Partizan Belgrado,Olympique Marselha,1.81,1.59,1,1
FK Partizan Belgrado,Real Madrid CF,1.81,2.01,0,0
Club Brugge,AC Milan,1.69,1.54,0,1
Club Brugge,AFC Ajax,1.69,1.48,2,1
Club Brugge,Celta de Vigo,1.69,1.72,1,1
AC Sparta Praga,AC Milan,1.9,1.54,0,0
AC Sparta Praga,Besiktas JK,1.9,3,2,1
AC Sparta Praga,SS Lazio,1.9,1.73,1,0
AC Sparta Praga,Chelsea FC,1.9,1.68,0,1
RSC Anderlecht,FC Bayern Munique,1.74,1.93,1,1
RSC Anderlecht,Celtic FC,1.74,1.77,1,0
RSC Anderlecht,Olympique Lyon,1.74,1.71,1,0
Besiktas JK,AC Sparta Praga,3,1.9,1,0
Besiktas JK,Chelsea FC,3,1.68,0,2
Besiktas JK,SS Lazio,3,1.73,0,2
Manchester United FC,Panathinaikos Atenas,2.09,1.84,5,0
Manchester United FC,Rangers FC,2.09,1.85,3,0
Manchester United FC,VfB Stuttgart,2.09,1.72,2,0
Manchester United FC,Futebol Clube do Porto,2.09,2.02,1,1
Olympique Lyon,Real Sociedad,1.71,1.61,1,0
Olympique Lyon,FC Bayern Munique,1.71,1.93,1,1
Olympique Lyon,RSC Anderlecht,1.71,1.74,1,0
Olympique Lyon,Celtic FC,1.71,1.77,3,2
Olympique Lyon,Futebol Clube do Porto,1.71,2.02,2,2
FC Arsenal,Celta de Vigo,1.94,1.72,2,0
FC Arsenal,Lokomotiv Moscovo,1.94,1.81,2,0
FC Arsenal,Chelsea FC,1.94,1.68,1,2
FC Arsenal,FC Internazionale,1.94,1.92,0,3
FC Arsenal,Dínamo Kiev,1.94,1.93,1,0
AC Milan,Celta de Vigo,1.54,1.72,1,2
AC Milan,AC Sparta Praga,1.54,1.9,4,1
AC Milan,RC Deportivo de Corunha,1.54,1.59,4,1
AC Milan,AFC Ajax,1.54,1.48,1,0
AC Milan,Club Brugge,1.54,1.69,0,1
FC Bayern Munique,Real Madrid CF,1.93,2.01,1,1
FC Bayern Munique,RSC Anderlecht,1.93,1.74,1,0
FC Bayern Munique,Celtic FC,1.93,1.77,2,1
FC Bayern Munique,Olympique Lyon,1.93,1.71,1,2
RC Deportivo de Corunha,AEK Atenas,1.59,1.58,3,0
RC Deportivo de Corunha,AC Milan,1.59,1.54,4,0
RC Deportivo de Corunha,PSV Eindhoven,1.59,1.6,2,0
RC Deportivo de Corunha,AS Mônaco,1.59,1.79,1,0
RC Deportivo de Corunha,Juventus FC,1.59,1.85,1,0
RC Deportivo de Corunha,Futebol Clube do Porto,1.59,2.02,0,1
Panathinaikos Atenas,Rangers FC,1.84,1.85,1,1
Panathinaikos Atenas,VfB Stuttgart,1.84,1.72,1,3
Panathinaikos Atenas,Manchester United FC,1.84,2.09,0,1
AFC Ajax,Club Brugge,1.48,1.69,2,0
AFC Ajax,AC Milan,1.48,1.54,0,1
AFC Ajax,Celta de Vigo,1.48,1.72,1,0
SS Lazio,Besiktas JK,1.73,3,1,1
SS Lazio,AC Sparta Praga,1.73,1.9,2,2
SS Lazio,Chelsea FC,1.73,1.68,0,4
Dínamo Kiev,Lokomotiv Moscovo,1.93,1.81,2,0
Dínamo Kiev,FC Internazionale,1.93,1.92,1,1
Dínamo Kiev,FC Arsenal,1.93,1.94,2,1
FC Internazionale,FC Arsenal,1.92,1.94,1,5
FC Internazionale,Lokomotiv Moscovo,1.92,1.81,1,1
FC Internazionale,Dínamo Kiev,1.92,1.93,2,1
Celtic FC,FC Bayern Munique,1.77,1.93,0,0
Celtic FC,RSC Anderlecht,1.77,1.74,3,1
Celtic FC,Olympique Lyon,1.77,1.71,2,0
Real Madrid CF,Futebol Clube do Porto,2.01,2.02,1,1
Real Madrid CF,Olympique Marselha,2.01,1.59,4,2
Real Madrid CF,FC Bayern Munique,2.01,1.93,1,0
Real Madrid CF,FK Partizan Belgrado,2.01,1.81,1,0
Real Madrid CF,AS Mônaco,2.01,1.79,4,2
Olympiacos Pireu,Real Sociedad,1.53,1.61,2,2
Olympiacos Pireu,Galatasaray,1.53,1.61,3,0
Olympiacos Pireu,Juventus FC,1.53,1.85,1,2
Olympique Marselha,Futebol Clube do Porto,1.59,2.02,2,3
Olympique Marselha,Real Madrid CF,1.59,2.01,1,2
Olympique Marselha,FK Partizan Belgrado,1.59,1.81,3,0
Real Sociedad,Juventus FC,1.61,1.85,0,0
Real Sociedad,Olympiacos Pireu,1.61,1.53,1,0
Real Sociedad,Olympique Lyon,1.61,1.71,0,1
Real Sociedad,Galatasaray,1.61,1.61,1,1
AEK Atenas,PSV Eindhoven,1.58,1.6,0,1
AEK Atenas,RC Deportivo de Corunha,1.58,1.59,1,1
AEK Atenas,AS Mônaco,1.58,1.79,0,0
Celta de Vigo,AC Milan,1.72,1.54,0,0
Celta de Vigo,Club Brugge,1.72,1.69,1,1
Celta de Vigo,FC Arsenal,1.72,1.94,2,3
Celta de Vigo,AFC Ajax,1.72,1.48,3,2
Rangers FC,Panathinaikos Atenas,1.85,1.84,1,3
Rangers FC,VfB Stuttgart,1.85,1.72,2,1
Rangers FC,Manchester United FC,1.85,2.09,0,1
VfB Stuttgart,Rangers FC,1.72,1.85,1,0
VfB Stuttgart,Panathinaikos Atenas,1.72,1.84,2,0
VfB Stuttgart,Manchester United FC,1.72,2.09,2,1
VfB Stuttgart,Chelsea FC,1.72,1.68,0,1
Chelsea FC,FC Arsenal,1.68,1.94,1,1
Chelsea FC,AS Mônaco,1.68,1.79,2,2
Chelsea FC,AC Sparta Praga,1.68,1.9,0,0
Chelsea FC,VfB Stuttgart,1.68,1.72,0,0
Chelsea FC,SS Lazio,1.68,1.73,2,1
Chelsea FC,Besiktas JK,1.68,3,0,2
Lokomotiv Moscovo,FC Internazionale,1.81,1.92,3,0
Lokomotiv Moscovo,AS Mônaco,1.81,1.79,2,1
Lokomotiv Moscovo,Dínamo Kiev,1.81,1.93,3,2
Lokomotiv Moscovo,FC Arsenal,1.81,1.94,0,0
Futebol Clube do Porto,RC Deportivo de Corunha,2.02,1.59,0,0
Futebol Clube do Porto,Olympique Marselha,2.02,1.59,1,0
Futebol Clube do Porto,Olympique Lyon,2.02,1.71,2,0
Futebol Clube do Porto,FK Partizan Belgrado,2.02,1.81,2,1
Futebol Clube do Porto,Manchester United FC,2.02,2.09,2,1
Futebol Clube do Porto,Real Madrid CF,2.02,2.01,1,3
Juventus FC,Galatasaray,1.85,1.61,2,1
Juventus FC,Olympiacos Pireu,1.85,1.53,7,0
Juventus FC,RC Deportivo de Corunha,1.85,1.59,0,1
Juventus FC,Real Sociedad,1.85,1.61,4,2
FC Barcelona,AC Milan,2.14,1.54,2,1
FC Barcelona,Chelsea FC,2.14,1.68,2,1
FC Barcelona,Celtic FC,2.14,1.77,1,1
FC Barcelona,Shakhtar Donetsk,2.14,,3,0
Werder Bremen,RSC Anderlecht,1.72,1.74,5,1
Werder Bremen,FC Internazionale,1.72,1.92,1,1
Werder Bremen,Olympique Lyon,1.72,1.71,0,3
Werder Bremen,Valência CF,1.72,1.41,2,1
PSV Eindhoven,FC Arsenal,1.6,1.94,1,1
PSV Eindhoven,Rosenborg BK,1.6,1.45,1,0
PSV Eindhoven,Olympique Lyon,1.6,1.71,4,2
PSV Eindhoven,Panathinaikos Atenas,1.6,1.84,1,0
PSV Eindhoven,AC Milan,1.6,1.54,3,1
PSV Eindhoven,AS Mônaco,1.6,1.79,1,0
AS Mônaco,RC Deportivo de Corunha,1.79,1.59,2,0
AS Mônaco,Olympiacos Pireu,1.79,1.53,2,1
AS Mônaco,PSV Eindhoven,1.79,1.6,0,2
AS Mônaco,FC Liverpool,1.79,1.87,1,0
Shakhtar Donetsk,AC Milan,,1.54,0,1
Shakhtar Donetsk,Celtic FC,,1.77,3,0
Shakhtar Donetsk,FC Barcelona,,2.14,2,0
Bayer 04 Leverkusen,AS Roma,1.6,2.07,3,1
Bayer 04 Leverkusen,Real Madrid CF,1.6,2.01,3,0
Bayer 04 Leverkusen,FC Liverpool,1.6,1.87,1,3
Bayer 04 Leverkusen,Dínamo Kiev,1.6,1.93,3,0
AC Sparta Praga,Fenerbahce,1.9,1.69,0,1
AC Sparta Praga,Olympique Lyon,1.9,1.71,1,2
AC Sparta Praga,Manchester United FC,1.9,2.09,0,0
