temporada,data,horario,fase,tipo_fase,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,idade_tecnico_mandante,idade_tecnico_visitante,data_inicio_tecnico_mandante,data_inicio_tecnico_visitante,data_final_tecnico_mandante,data_final_tecnico_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,valor_medio_equipe_titular_mandante,valor_medio_equipe_titular_visitante,convocacao_selecao_principal_mandante,convocacao_selecao_principal_visitante,selecao_juniores_mandante,selecao_juniores_visitante,estrangeiros_mandante,estrangeiros_visitante,socios_mandante,socios_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,prorrogacao,penalti,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
"2003,2004",2004-03-10,15:45:00,Oitavas De Final,Oitavas De Final,Stade Louis-II,Lucílio Batista,15000,18523,AS Mônaco,Lokomotiv Moscovo,Adi Hütter,Mikhail Galaktionov,34,19,2023-07-04,2022-11-13,2025-06-30,2024-06-30,1.79,1.81,344500000,76550000,12760000,2840000,15,9,10,7,27,3,,,24.2,24.4,1,0,0,0,0,0,,,,,,,,,,,,,,
"2003,2004",2004-02-24,15:45:00,Oitavas De Final,Oitavas De Final,epet Arena,Graham Poll,20640,20854,AC Sparta Praga,AC Milan,Brian Priske,Stefano Pioli,26,38,2022-07-01,2019-10-09,2024-06-30,2025-06-30,1.9,1.54,44650000,543250000,1650000,19400000,10,15,9,5,10,21,,,25.2,26.3,0,0,0,0,0,0,,,,,,,,,,,,,,
"2003,2004",2004-03-09,15:45:00,Oitavas De Final,Oitavas De Final,Old Trafford,Valentin Ivanov,67000,75811,Manchester United FC,Futebol Clube do Porto,Erik ten Hag,Sérgio Conceição,34,29,2022-07-01,2017-07-01,2025-06-30,2024-06-30,2.09,2.02,877300000,289000000,28300000,10320000,22,7,1,4,22,18,150000,137750,26.2,26.5,1,1,0,0,1,0,,,,,,,,,,,,,,
"2003,2004",2004-03-09,15:45:00,Oitavas De Final,Oitavas De Final,Stade de Gerland,Mike Riley,38900,41044,Olympique Lyon,Real Sociedad,Fabio Grosso,Imanol Alguacil,26,32,2023-09-18,2018-12-27,2024-06-30,2025-06-30,1.71,1.61,192650000,432600000,6880000,16640000,5,10,13,4,16,7,,35342,25,25.3,1,0,0,0,0,0,,,,,,,,,,,,,,
"2003,2004",2004-03-10,15:45:00,Oitavas De Final,Oitavas De Final,Highbury,Pierluigi Collina,35400,38419,FC Arsenal,Celta de Vigo,Mikel Arteta,Rafael Benítez,21,43,2019-12-22,2023-07-01,2025-06-30,2026-06-30,1.94,1.72,1100000000,117800000,43820000,4910000,21,8,2,2,18,11,130000,16801,25.7,26.6,2,0,0,0,2,0,,,,,,,,,,,,,,
"2003,2004",2004-03-10,15:45:00,Oitavas De Final,Oitavas De Final,Giuseppe Meazza,Dr. Markus Merk,55000,80018,AC Milan,AC Sparta Praga,Stefano Pioli,Brian Priske,38,26,2019-10-09,2022-07-01,2025-06-30,2024-06-30,1.54,1.9,543250000,44650000,19400000,1650000,15,10,5,9,21,10,,,26.3,25.2,4,1,0,0,1,0,,,,,,,,,,,,,,
"2003,2004",2004-02-24,15:45:00,Oitavas De Final,Oitavas De Final,Olympiastadion München,Terje Hauge,69000,69250,FC Bayern Munique,Real Madrid CF,Thomas Tuchel,Carlo Ancelotti,30,44,2023-03-25,2021-07-01,2025-06-30,2024-06-30,1.93,2.01,897700000,1030000000,34530000,44610000,18,19,5,0,14,15,300000,93176,26.4,27.6,1,1,0,0,0,0,,,,,,,,,,,,,,
"2003,2004",2004-02-25,15:45:00,Oitavas De Final,Oitavas De Final,Abanca Riazor,Gilles Veissière,35000,,RC Deportivo de Corunha,Juventus FC,Imanol Idiakez,Massimiliano Allegri,31,36,2023-07-01,2021-05-28,2024-06-30,2025-06-30,1.59,1.85,8600000,420200000,,17510000,0,16,1,5,1,12,22125,111000,28.7,27.2,1,0,0,0,1,0,,,,,,,,,,,,,,
"2003,2004",2004-03-10,15:45:00,Oitavas De Final,Oitavas De Final,Santiago Bernabéu,Urs Meier,75000,,Real Madrid CF,FC Bayern Munique,Carlo Ancelotti,Thomas Tuchel,44,30,2021-07-01,2023-03-25,2024-06-30,2025-06-30,2.01,1.93,1030000000,897700000,44610000,34530000,19,18,0,5,15,14,93176,300000,27.6,26.4,1,0,0,0,1,0,,,,,,,,,,,,,,
"2003,2004",2004-02-25,15:45:00,Oitavas De Final,Oitavas De Final,Anoeta,Massimo De Santis,28000,32076,Real Sociedad,Olympique Lyon,Imanol Alguacil,Fabio Grosso,32,26,2018-12-27,2023-09-18,2025-06-30,2024-06-30,1.61,1.71,432600000,192650000,16640000,6880000,10,5,4,13,7,16,35342,,25.3,25,0,1,0,0,0,1,,,,,,,,,,,,,,
