temporada,data,horario,fase,tipo_fase,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,idade_tecnico_mandante,idade_tecnico_visitante,data_inicio_tecnico_mandante,data_inicio_tecnico_visitante,data_final_tecnico_mandante,data_final_tecnico_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,valor_medio_equipe_titular_mandante,valor_medio_equipe_titular_visitante,convocacao_selecao_principal_mandante,convocacao_selecao_principal_visitante,selecao_juniores_mandante,selecao_juniores_visitante,estrangeiros_mandante,estrangeiros_visitante,socios_mandante,socios_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,prorrogacao,penalti,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
"2003,2004",2004-04-07,15:45:00,Quartas De Final,Quartas De Final,Stade Louis-II,Pierluigi Collina,18000,18523,AS Mônaco,Real Madrid CF,Adi Hütter,Carlo Ancelotti,34,44,2023-07-04,2021-07-01,2025-06-30,2024-06-30,1.79,2.01,344500000,1030000000,12760000,44610000,15,19,10,0,27,15,,93176,24.2,27.6,3,1,0,0,1,1,,,,,,,,,,,,,,
"2003,2004",2004-04-06,15:45:00,Quartas De Final,Quartas De Final,Stade de Gerland,Anders Frisk,41000,41044,Olympique Lyon,Futebol Clube do Porto,Fabio Grosso,Sérgio Conceição,26,29,2023-09-18,2017-07-01,2024-06-30,2024-06-30,1.71,2.02,192650000,289000000,6880000,10320000,5,7,13,4,16,18,,137750,25,26.5,2,2,0,0,1,1,,,,,,,,,,,,,,
"2003,2004",2004-04-07,15:45:00,Quartas De Final,Quartas De Final,Highbury,Dr. Markus Merk,35500,38419,FC Arsenal,Chelsea FC,Mikel Arteta,Mauricio Pochettino,22,32,2019-12-22,2023-07-01,2025-06-30,2025-06-30,1.94,1.68,1100000000,999000000,43820000,33300000,21,20,2,11,18,20,130000,30000,25.7,23.7,1,2,0,0,1,0,,,,,,,,,,,,,,
"2003,2004",2004-03-23,15:45:00,Quartas De Final,Quartas De Final,Giuseppe Meazza,Valentin Ivanov,60300,80018,AC Milan,RC Deportivo de Corunha,Stefano Pioli,Imanol Idiakez,38,32,2019-10-09,2023-07-01,2025-06-30,2024-06-30,1.54,1.59,543250000,8600000,19400000,,15,0,5,1,21,1,,22125,26.3,28.7,4,1,0,0,1,1,,,,,,,,,,,,,,
"2003,2004",2004-04-06,15:45:00,Quartas De Final,Quartas De Final,Abanca Riazor,Urs Meier,27000,34711,RC Deportivo de Corunha,AC Milan,Imanol Idiakez,Stefano Pioli,32,38,2023-07-01,2019-10-09,2024-06-30,2025-06-30,1.59,1.54,8600000,543250000,,19400000,0,15,1,5,1,21,22125,,28.7,26.3,4,0,0,0,3,0,,,,,,,,,,,,,,
"2003,2004",2004-03-24,15:45:00,Quartas De Final,Quartas De Final,Santiago Bernabéu,Lubos Michel,70000,85454,Real Madrid CF,AS Mônaco,Carlo Ancelotti,Adi Hütter,44,34,2021-07-01,2023-07-04,2024-06-30,2025-06-30,2.01,1.79,1030000000,344500000,44610000,12760000,19,15,0,10,15,27,93176,,27.6,24.2,4,2,0,0,0,1,,,,,,,,,,,,,,
"2003,2004",2004-03-24,15:45:00,Quartas De Final,Quartas De Final,Stamford Bridge,Mejuto González,40000,40853,Chelsea FC,FC Arsenal,Mauricio Pochettino,Mikel Arteta,32,21,2023-07-01,2019-12-22,2025-06-30,2025-06-30,1.68,1.94,999000000,1100000000,33300000,43820000,20,21,11,2,20,18,30000,130000,23.7,25.7,1,1,0,0,0,0,,,,,,,,,,,,,,
"2003,2004",2004-03-23,15:45:00,Quartas De Final,Quartas De Final,Estádio do Dragão,Terje Hauge,48500,50399,Futebol Clube do Porto,Olympique Lyon,Sérgio Conceição,Fabio Grosso,29,26,2017-07-01,2023-09-18,2024-06-30,2024-06-30,2.02,1.71,289000000,192650000,10320000,6880000,7,5,4,13,18,16,137750,,26.5,25,2,0,0,0,1,0,,,,,,,,,,,,,,
"2004,2005",2005-04-13,15:45:00,Quartas De Final,Quartas De Final,Philips Stadion,Kim Milton Nielsen,32500,35000,PSV Eindhoven,Olympique Lyon,Peter Bosz,Fabio Grosso,41,27,2023-07-01,2023-09-18,2026-06-30,2024-06-30,1.6,1.71,187230000,192650000,6930000,6880000,10,5,8,13,14,16,,,25.1,25,4,2,,1,,,,,,,,,,,,,,,,
"2004,2005",2005-04-05,15:45:00,Quartas De Final,Quartas De Final,Stade de Gerland,Pierluigi Collina,40000,41044,Olympique Lyon,PSV Eindhoven,Fabio Grosso,Peter Bosz,27,41,2023-09-18,2023-07-01,2024-06-30,2026-06-30,1.71,1.6,192650000,187230000,6880000,6930000,5,10,13,8,16,14,,,25,25.1,1,1,0,0,1,0,,,,,,,,,,,,,,
"2004,2005",2005-04-05,15:45:00,Quartas De Final,Quartas De Final,Anfield,Frank de Bleeckere,45000,54074,FC Liverpool,Juventus FC,Jürgen Klopp,Massimiliano Allegri,37,37,2015-10-08,2021-05-28,2026-06-30,2025-06-30,1.87,1.85,877300000,420200000,33740000,17510000,17,16,7,5,21,12,,111000,26.1,27.2,2,1,0,0,2,0,,,,,,,,,,,,,,
"2004,2005",2005-04-06,15:45:00,Quartas De Final,Quartas De Final,Giuseppe Meazza,Alain Sars,79000,80018,AC Milan,FC Internazionale,Stefano Pioli,Simone Inzaghi,39,29,2019-10-09,2021-06-03,2025-06-30,2025-06-30,1.54,1.92,543250000,563350000,19400000,22530000,15,19,5,2,21,16,,110280,26.3,28.8,2,0,0,0,1,0,,,,,,,,,,,,,,
"2004,2005",2005-04-12,15:45:00,Quartas De Final,Quartas De Final,Olympiastadion München,Mejuto González,59000,,FC Bayern Munique,Chelsea FC,Thomas Tuchel,Mauricio Pochettino,31,33,2023-03-25,2023-07-01,2025-06-30,2025-06-30,1.93,1.68,897700000,999000000,34530000,33300000,18,20,5,11,14,20,300000,30000,26.4,23.7,3,2,0,0,0,1,,,,,,,,,,,,,,
