temporada,data,horario,fase,tipo_fase,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,idade_tecnico_mandante,idade_tecnico_visitante,data_inicio_tecnico_mandante,data_inicio_tecnico_visitante,data_final_tecnico_mandante,data_final_tecnico_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,valor_medio_equipe_titular_mandante,valor_medio_equipe_titular_visitante,convocacao_selecao_principal_mandante,convocacao_selecao_principal_visitante,selecao_juniores_mandante,selecao_juniores_visitante,estrangeiros_mandante,estrangeiros_visitante,socios_mandante,socios_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,prorrogacao,penalti,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
"2003,2004",2004-04-20,15:45:00,Semi-Finais,Semi-Finais,Stade Louis-II,Urs Meier,18500,18523,AS Mônaco,Chelsea FC,Adi Hütter,Mauricio Pochettino,34,32,2023-07-04,2023-07-01,2025-06-30,2025-06-30,1.79,1.68,344500000,999000000,12760000,33300000,15,20,10,11,27,20,,30000,24.2,23.7,3,1,0,0,1,1,,,,,,,,,,,,,,
"2003,2004",2004-05-04,15:45:00,Semi-Finais,Semi-Finais,Abanca Riazor,Pierluigi Collina,35000,,RC Deportivo de Corunha,Futebol Clube do Porto,Imanol Idiakez,Sérgio Conceição,32,29,2023-07-01,2017-07-01,2024-06-30,2024-06-30,1.59,2.02,8600000,289000000,,10320000,0,7,1,4,1,18,22125,137750,28.7,26.5,0,1,0,0,0,0,,,,,,,,,,,,,,
"2003,2004",2004-05-05,15:45:00,Semi-Finais,Semi-Finais,Stamford Bridge,Anders Frisk,42500,,Chelsea FC,AS Mônaco,Mauricio Pochettino,Adi Hütter,32,34,2023-07-01,2023-07-04,2025-06-30,2025-06-30,1.68,1.79,999000000,344500000,33300000,12760000,20,15,11,10,20,27,30000,,23.7,24.2,2,2,0,0,2,1,,,,,,,,,,,,,,
"2003,2004",2004-04-21,15:45:00,Semi-Finais,Semi-Finais,Estádio do Dragão,Dr. Markus Merk,52000,,Futebol Clube do Porto,RC Deportivo de Corunha,Sérgio Conceição,Imanol Idiakez,29,32,2017-07-01,2023-07-01,2024-06-30,2024-06-30,2.02,1.59,289000000,8600000,10320000,,7,0,4,1,18,1,137750,22125,26.5,28.7,0,0,0,0,0,0,,,,,,,,,,,,,,
"2004,2005",2005-05-04,15:45:00,Semi-Finais,Semi-Finais,Philips Stadion,Terje Hauge,35100,35600,PSV Eindhoven,AC Milan,Peter Bosz,Stefano Pioli,41,39,2023-07-01,2019-10-09,2026-06-30,2025-06-30,1.6,1.54,187230000,543250000,6930000,19400000,10,15,8,5,14,21,,,25.1,26.3,3,1,0,0,1,0,,,,,,,,,,,,,,
"2004,2005",2005-05-03,15:45:00,Semi-Finais,Semi-Finais,Anfield,Lubos Michel,41216,54074,FC Liverpool,Chelsea FC,Jürgen Klopp,Mauricio Pochettino,37,33,2015-10-08,2023-07-01,2026-06-30,2025-06-30,1.87,1.68,877300000,999000000,33740000,33300000,17,20,7,11,21,20,,30000,26.1,23.7,1,0,0,0,1,0,,,,,,,,,,,,,,
"2004,2005",2005-04-26,15:45:00,Semi-Finais,Semi-Finais,Giuseppe Meazza,Kyros Vassaras,79000,81277,AC Milan,PSV Eindhoven,Stefano Pioli,Peter Bosz,39,41,2019-10-09,2023-07-01,2025-06-30,2026-06-30,1.54,1.6,543250000,187230000,19400000,6930000,15,10,5,8,21,14,,,26.3,25.1,2,0,0,0,1,0,,,,,,,,,,,,,,
"2004,2005",2005-04-27,15:45:00,Semi-Finais,Semi-Finais,Stamford Bridge,Alain Sars,42500,,Chelsea FC,FC Liverpool,Mauricio Pochettino,Jürgen Klopp,33,37,2023-07-01,2015-10-08,2025-06-30,2026-06-30,1.68,1.87,999000000,877300000,33300000,33740000,20,17,11,7,20,21,30000,,23.7,26.1,0,0,0,0,0,0,,,,,,,,,,,,,,
"2005,2006",2006-04-26,15:45:00,Semi-Finais,Semi-Finais,Spotify Camp Nou,Dr. Markus Merk,98000,,FC Barcelona,AC Milan,Xavi,Stefano Pioli,26,40,2021-11-06,2019-10-09,2025-06-30,2025-06-30,2.14,1.54,862000000,543250000,41050000,19400000,16,15,2,5,10,21,170000,,26.6,26.3,0,0,0,0,0,0,,,,,,,,,,,,,,
"2005,2006",2006-04-25,15:45:00,Semi-Finais,Semi-Finais,La Cerámica,Valentin Ivanov,23000,,FC Villarreal,FC Arsenal,Pacheta,Mikel Arteta,38,24,2023-09-09,2019-12-22,2024-06-30,2025-06-30,1.55,1.94,186200000,1100000000,7760000,43820000,7,21,4,2,8,18,15000,130000,29,25.7,0,0,0,0,0,0,,,,,,,,,,,,,,
